plugin,skill,check_id,severity,result,detail
rev-ops,closed-won-to-cs-capacity-modeling,1.1a,BLOCK,PASS,no top-level security: block in frontmatter
rev-ops,closed-won-to-cs-capacity-modeling,1.2,WARN,PASS,version=1.0.0
rev-ops,closed-won-to-cs-capacity-modeling,1.3,WARN,PASS,name=closed-won-to-cs-capacity-modeling
rev-ops,closed-won-to-cs-capacity-modeling,1.4,WARN,PASS,description present
rev-ops,closed-won-to-cs-capacity-modeling,2.1,BLOCK,PASS,## Use When / Trigger Precision present
rev-ops,closed-won-to-cs-capacity-modeling,2.2,BLOCK,PASS,## Do NOT Use For / Trigger Precision present
rev-ops,closed-won-to-cs-capacity-modeling,2.3,WARN,FAIL,## Typical Activation section missing
rev-ops,closed-won-to-cs-capacity-modeling,3.1,WARN,FAIL,## Pre-flight section missing
rev-ops,closed-won-to-cs-capacity-modeling,3.2,WARN,FAIL,company-profile.md not referenced
rev-ops,closed-won-to-cs-capacity-modeling,5.1,WARN,PASS,## Reasoning Protocol present
rev-ops,closed-won-to-cs-capacity-modeling,5.1-D1a,WARN,FAIL,D1 opening line missing: 'Before generating output; apply these primers:'
rev-ops,closed-won-to-cs-capacity-modeling,5.1-D1b,WARN,FAIL,missing primers: CLASSIFY;CONSTRAINTS;EXPERT CHECK;ANTI-PATTERNS
rev-ops,closed-won-to-cs-capacity-modeling,5.1-D1c,WARN,FAIL,post-execution verification block missing ('**After execution**; verify:')
rev-ops,closed-won-to-cs-capacity-modeling,5.1-D1d,WARN,FAIL,3-band confidence calibration missing (High/Medium/Low format)
rev-ops,closed-won-to-cs-capacity-modeling,5.1-D4a,WARN,SKIP,anti-pattern count=0 (check 5.1 FAIL may explain; verify manually)
rev-ops,closed-won-to-cs-capacity-modeling,5.1a,WARN,FAIL,references/reasoning-blueprint.md not found
rev-ops,closed-won-to-cs-capacity-modeling,6.1,WARN,FAIL,## Reference Files section missing
rev-ops,closed-won-to-cs-capacity-modeling,6.1a,WARN,FAIL,reasoning-blueprint.md not referenced in SKILL.md
rev-ops,closed-won-to-cs-capacity-modeling,9.1,WARN,PASS,G-code governance reference found
rev-ops,closed-won-to-cs-capacity-modeling,S1,WARN,FAIL,no output status signal found (PROPOSED/VALIDATED/DRAFT)
rev-ops,cold-start-interview,1.1,BLOCK,PASS,deployment_target=plugin
rev-ops,cold-start-interview,1.1a,BLOCK,PASS,no top-level security: block in frontmatter
rev-ops,cold-start-interview,1.2,WARN,PASS,version=1.0.0
rev-ops,cold-start-interview,1.3,WARN,PASS,name=cold-start-interview
rev-ops,cold-start-interview,1.4,WARN,PASS,description present
rev-ops,cold-start-interview,2.1,BLOCK,PASS,## Use When / Trigger Precision present
rev-ops,cold-start-interview,2.2,BLOCK,PASS,## Do NOT Use For / Trigger Precision present
rev-ops,cold-start-interview,2.3,WARN,FAIL,## Typical Activation section missing
rev-ops,cold-start-interview,3.1,WARN,FAIL,## Pre-flight section missing
rev-ops,cold-start-interview,3.2,WARN,PASS,company-profile.md referenced
rev-ops,cold-start-interview,5.1,WARN,PASS,## Reasoning Protocol present
rev-ops,cold-start-interview,5.1-D1a,WARN,FAIL,D1 opening line missing: 'Before generating output; apply these primers:'
rev-ops,cold-start-interview,5.1-D1b,WARN,FAIL,missing primers: CLASSIFY;CONSTRAINTS;EXPERT CHECK;ANTI-PATTERNS
rev-ops,cold-start-interview,5.1-D1c,WARN,FAIL,post-execution verification block missing ('**After execution**; verify:')
rev-ops,cold-start-interview,5.1-D1d,WARN,FAIL,3-band confidence calibration missing (High/Medium/Low format)
rev-ops,cold-start-interview,5.1-D4a,WARN,SKIP,anti-pattern count=0 (check 5.1 FAIL may explain; verify manually)
rev-ops,cold-start-interview,5.1a,WARN,FAIL,references/reasoning-blueprint.md not found
rev-ops,cold-start-interview,6.1,WARN,FAIL,## Reference Files section missing
rev-ops,cold-start-interview,6.1a,WARN,FAIL,reasoning-blueprint.md not referenced in SKILL.md
rev-ops,cold-start-interview,9.1,WARN,PASS,G-code governance reference found
rev-ops,cold-start-interview,S1,WARN,FAIL,no output status signal found (PROPOSED/VALIDATED/DRAFT)
rev-ops,comp-simulation,1.1,BLOCK,PASS,deployment_target=plugin
rev-ops,comp-simulation,1.1a,BLOCK,PASS,no top-level security: block in frontmatter
rev-ops,comp-simulation,1.2,WARN,PASS,version=1.0.0
rev-ops,comp-simulation,1.3,WARN,PASS,name=comp-simulation
rev-ops,comp-simulation,1.4,WARN,PASS,description present
rev-ops,comp-simulation,2.1,BLOCK,PASS,## Use When / Trigger Precision present
rev-ops,comp-simulation,2.2,BLOCK,PASS,## Do NOT Use For / Trigger Precision present
rev-ops,comp-simulation,2.3,WARN,FAIL,## Typical Activation section missing
rev-ops,comp-simulation,3.1,WARN,FAIL,## Pre-flight section missing
rev-ops,comp-simulation,3.2,WARN,FAIL,company-profile.md not referenced
rev-ops,comp-simulation,5.1,WARN,PASS,## Reasoning Protocol present
rev-ops,comp-simulation,5.1-D1a,WARN,FAIL,D1 opening line missing: 'Before generating output; apply these primers:'
rev-ops,comp-simulation,5.1-D1b,WARN,FAIL,missing primers: CLASSIFY;CONSTRAINTS;EXPERT CHECK;ANTI-PATTERNS
rev-ops,comp-simulation,5.1-D1c,WARN,FAIL,post-execution verification block missing ('**After execution**; verify:')
rev-ops,comp-simulation,5.1-D1d,WARN,FAIL,3-band confidence calibration missing (High/Medium/Low format)
rev-ops,comp-simulation,5.1-D4a,WARN,SKIP,anti-pattern count=0 (check 5.1 FAIL may explain; verify manually)
rev-ops,comp-simulation,5.1a,WARN,FAIL,references/reasoning-blueprint.md not found
rev-ops,comp-simulation,6.1,WARN,FAIL,## Reference Files section missing
rev-ops,comp-simulation,6.1a,WARN,FAIL,reasoning-blueprint.md not referenced in SKILL.md
rev-ops,comp-simulation,9.1,WARN,PASS,G-code governance reference found
rev-ops,comp-simulation,S1,WARN,PASS,status signal=[DRAFT]
rev-ops,crm-hygiene-audit,1.1,BLOCK,PASS,deployment_target=plugin
rev-ops,crm-hygiene-audit,1.1a,BLOCK,PASS,no top-level security: block in frontmatter
rev-ops,crm-hygiene-audit,1.2,WARN,PASS,version=1.0.0
rev-ops,crm-hygiene-audit,1.3,WARN,PASS,name=crm-hygiene-audit
rev-ops,crm-hygiene-audit,1.4,WARN,PASS,description present
rev-ops,crm-hygiene-audit,2.1,BLOCK,PASS,## Use When / Trigger Precision present
rev-ops,crm-hygiene-audit,2.2,BLOCK,PASS,## Do NOT Use For / Trigger Precision present
rev-ops,crm-hygiene-audit,2.3,WARN,FAIL,## Typical Activation section missing
rev-ops,crm-hygiene-audit,3.1,WARN,FAIL,## Pre-flight section missing
rev-ops,crm-hygiene-audit,3.2,WARN,FAIL,company-profile.md not referenced
rev-ops,crm-hygiene-audit,5.1,WARN,PASS,## Reasoning Protocol present
rev-ops,crm-hygiene-audit,5.1-D1a,WARN,FAIL,D1 opening line missing: 'Before generating output; apply these primers:'
rev-ops,crm-hygiene-audit,5.1-D1b,WARN,FAIL,missing primers: CLASSIFY;CONSTRAINTS;EXPERT CHECK;ANTI-PATTERNS
rev-ops,crm-hygiene-audit,5.1-D1c,WARN,FAIL,post-execution verification block missing ('**After execution**; verify:')
rev-ops,crm-hygiene-audit,5.1-D1d,WARN,FAIL,3-band confidence calibration missing (High/Medium/Low format)
rev-ops,crm-hygiene-audit,5.1-D4a,WARN,SKIP,anti-pattern count=0 (check 5.1 FAIL may explain; verify manually)
rev-ops,crm-hygiene-audit,5.1a,WARN,FAIL,references/reasoning-blueprint.md not found
rev-ops,crm-hygiene-audit,6.1,WARN,FAIL,## Reference Files section missing
rev-ops,crm-hygiene-audit,6.1a,WARN,FAIL,reasoning-blueprint.md not referenced in SKILL.md
rev-ops,crm-hygiene-audit,9.1,WARN,PASS,G-code governance reference found
rev-ops,crm-hygiene-audit,S1,WARN,FAIL,no output status signal found (PROPOSED/VALIDATED/DRAFT)
rev-ops,cross-system-reconciliation,1.1,BLOCK,PASS,deployment_target=plugin
rev-ops,cross-system-reconciliation,1.1a,BLOCK,PASS,no top-level security: block in frontmatter
rev-ops,cross-system-reconciliation,1.2,WARN,PASS,version=1.0.0
rev-ops,cross-system-reconciliation,1.3,WARN,PASS,name=cross-system-reconciliation
rev-ops,cross-system-reconciliation,1.4,WARN,PASS,description present
rev-ops,cross-system-reconciliation,2.1,BLOCK,PASS,## Use When / Trigger Precision present
rev-ops,cross-system-reconciliation,2.2,BLOCK,PASS,## Do NOT Use For / Trigger Precision present
rev-ops,cross-system-reconciliation,2.3,WARN,FAIL,## Typical Activation section missing
rev-ops,cross-system-reconciliation,3.1,WARN,FAIL,## Pre-flight section missing
rev-ops,cross-system-reconciliation,3.2,WARN,FAIL,company-profile.md not referenced
rev-ops,cross-system-reconciliation,5.1,WARN,PASS,## Reasoning Protocol present
rev-ops,cross-system-reconciliation,5.1-D1a,WARN,FAIL,D1 opening line missing: 'Before generating output; apply these primers:'
rev-ops,cross-system-reconciliation,5.1-D1b,WARN,FAIL,missing primers: CLASSIFY;CONSTRAINTS;EXPERT CHECK;ANTI-PATTERNS
rev-ops,cross-system-reconciliation,5.1-D1c,WARN,FAIL,post-execution verification block missing ('**After execution**; verify:')
rev-ops,cross-system-reconciliation,5.1-D1d,WARN,FAIL,3-band confidence calibration missing (High/Medium/Low format)
rev-ops,cross-system-reconciliation,5.1-D4a,WARN,SKIP,anti-pattern count=0 (check 5.1 FAIL may explain; verify manually)
rev-ops,cross-system-reconciliation,5.1a,WARN,FAIL,references/reasoning-blueprint.md not found
rev-ops,cross-system-reconciliation,6.1,WARN,FAIL,## Reference Files section missing
rev-ops,cross-system-reconciliation,6.1a,WARN,FAIL,reasoning-blueprint.md not referenced in SKILL.md
rev-ops,cross-system-reconciliation,9.1,WARN,PASS,G-code governance reference found
rev-ops,cross-system-reconciliation,S1,WARN,FAIL,no output status signal found (PROPOSED/VALIDATED/DRAFT)
rev-ops,csql-tracking,1.1,BLOCK,PASS,deployment_target=plugin
rev-ops,csql-tracking,1.1a,BLOCK,PASS,no top-level security: block in frontmatter
rev-ops,csql-tracking,1.2,WARN,PASS,version=1.0.0
rev-ops,csql-tracking,1.3,WARN,PASS,name=rev-ops:csql-tracking
rev-ops,csql-tracking,1.4,WARN,PASS,description present
rev-ops,csql-tracking,2.1,BLOCK,PASS,## Use When / Trigger Precision present
rev-ops,csql-tracking,2.2,BLOCK,PASS,## Do NOT Use For / Trigger Precision present
rev-ops,csql-tracking,2.3,WARN,PASS,## Typical Activation present
rev-ops,csql-tracking,3.1,WARN,FAIL,## Pre-flight section missing
rev-ops,csql-tracking,3.2,WARN,FAIL,company-profile.md not referenced
rev-ops,csql-tracking,5.1,WARN,FAIL,## Reasoning Protocol section missing
rev-ops,csql-tracking,5.1-D1a,WARN,FAIL,D1 opening line missing: 'Before generating output; apply these primers:'
rev-ops,csql-tracking,5.1-D1b,WARN,FAIL,missing primers: CLASSIFY;CONSTRAINTS;EXPERT CHECK;ANTI-PATTERNS
rev-ops,csql-tracking,5.1-D1c,WARN,FAIL,post-execution verification block missing ('**After execution**; verify:')
rev-ops,csql-tracking,5.1-D1d,WARN,FAIL,3-band confidence calibration missing (High/Medium/Low format)
rev-ops,csql-tracking,5.1-D4a,WARN,SKIP,anti-pattern count=0 (check 5.1 FAIL may explain; verify manually)
rev-ops,csql-tracking,5.1a,WARN,FAIL,references/reasoning-blueprint.md not found
rev-ops,csql-tracking,6.1,WARN,PASS,## Reference Files section present
rev-ops,csql-tracking,6.1a,WARN,FAIL,reasoning-blueprint.md not referenced in SKILL.md
rev-ops,csql-tracking,9.1,WARN,FAIL,no G-code references found in SKILL.md
rev-ops,csql-tracking,S1,WARN,FAIL,no output status signal found (PROPOSED/VALIDATED/DRAFT)
rev-ops,data-decay-tracking,1.1,BLOCK,PASS,deployment_target=plugin
rev-ops,data-decay-tracking,1.1a,BLOCK,PASS,no top-level security: block in frontmatter
rev-ops,data-decay-tracking,1.2,WARN,PASS,version=1.0.0
rev-ops,data-decay-tracking,1.3,WARN,PASS,name=data-decay-tracking
rev-ops,data-decay-tracking,1.4,WARN,PASS,description present
rev-ops,data-decay-tracking,2.1,BLOCK,PASS,## Use When / Trigger Precision present
rev-ops,data-decay-tracking,2.2,BLOCK,PASS,## Do NOT Use For / Trigger Precision present
rev-ops,data-decay-tracking,2.3,WARN,FAIL,## Typical Activation section missing
rev-ops,data-decay-tracking,3.1,WARN,FAIL,## Pre-flight section missing
rev-ops,data-decay-tracking,3.2,WARN,FAIL,company-profile.md not referenced
rev-ops,data-decay-tracking,5.1,WARN,PASS,## Reasoning Protocol present
rev-ops,data-decay-tracking,5.1-D1a,WARN,FAIL,D1 opening line missing: 'Before generating output; apply these primers:'
rev-ops,data-decay-tracking,5.1-D1b,WARN,FAIL,missing primers: CLASSIFY;CONSTRAINTS;EXPERT CHECK;ANTI-PATTERNS
rev-ops,data-decay-tracking,5.1-D1c,WARN,FAIL,post-execution verification block missing ('**After execution**; verify:')
rev-ops,data-decay-tracking,5.1-D1d,WARN,FAIL,3-band confidence calibration missing (High/Medium/Low format)
rev-ops,data-decay-tracking,5.1-D4a,WARN,SKIP,anti-pattern count=0 (check 5.1 FAIL may explain; verify manually)
rev-ops,data-decay-tracking,5.1a,WARN,FAIL,references/reasoning-blueprint.md not found
rev-ops,data-decay-tracking,6.1,WARN,FAIL,## Reference Files section missing
rev-ops,data-decay-tracking,6.1a,WARN,FAIL,reasoning-blueprint.md not referenced in SKILL.md
rev-ops,data-decay-tracking,9.1,WARN,PASS,G-code governance reference found
rev-ops,data-decay-tracking,S1,WARN,FAIL,no output status signal found (PROPOSED/VALIDATED/DRAFT)
rev-ops,deal-classification,1.1,BLOCK,PASS,deployment_target=plugin
rev-ops,deal-classification,1.1a,BLOCK,PASS,no top-level security: block in frontmatter
rev-ops,deal-classification,1.2,WARN,PASS,version=1.0.0
rev-ops,deal-classification,1.3,WARN,PASS,name=deal-classification
rev-ops,deal-classification,1.4,WARN,PASS,description present
rev-ops,deal-classification,2.1,BLOCK,PASS,## Use When / Trigger Precision present
rev-ops,deal-classification,2.2,BLOCK,PASS,## Do NOT Use For / Trigger Precision present
rev-ops,deal-classification,2.3,WARN,FAIL,## Typical Activation section missing
rev-ops,deal-classification,3.1,WARN,FAIL,## Pre-flight section missing
rev-ops,deal-classification,3.2,WARN,FAIL,company-profile.md not referenced
rev-ops,deal-classification,5.1,WARN,PASS,## Reasoning Protocol present
rev-ops,deal-classification,5.1-D1a,WARN,FAIL,D1 opening line missing: 'Before generating output; apply these primers:'
rev-ops,deal-classification,5.1-D1b,WARN,FAIL,missing primers: CLASSIFY;CONSTRAINTS;EXPERT CHECK;ANTI-PATTERNS
rev-ops,deal-classification,5.1-D1c,WARN,FAIL,post-execution verification block missing ('**After execution**; verify:')
rev-ops,deal-classification,5.1-D1d,WARN,FAIL,3-band confidence calibration missing (High/Medium/Low format)
rev-ops,deal-classification,5.1-D4a,WARN,SKIP,anti-pattern count=0 (check 5.1 FAIL may explain; verify manually)
rev-ops,deal-classification,5.1a,WARN,FAIL,references/reasoning-blueprint.md not found
rev-ops,deal-classification,6.1,WARN,FAIL,## Reference Files section missing
rev-ops,deal-classification,6.1a,WARN,FAIL,reasoning-blueprint.md not referenced in SKILL.md
rev-ops,deal-classification,9.1,WARN,PASS,G-code governance reference found
rev-ops,deal-classification,S1,WARN,FAIL,no output status signal found (PROPOSED/VALIDATED/DRAFT)
rev-ops,deal-desk-workflow-management,1.1,BLOCK,PASS,deployment_target=plugin
rev-ops,deal-desk-workflow-management,1.1a,BLOCK,PASS,no top-level security: block in frontmatter
rev-ops,deal-desk-workflow-management,1.2,WARN,PASS,version=1.0.0
rev-ops,deal-desk-workflow-management,1.3,WARN,PASS,name=deal-desk-workflow-management
rev-ops,deal-desk-workflow-management,1.4,WARN,PASS,description present
rev-ops,deal-desk-workflow-management,2.1,BLOCK,PASS,## Use When / Trigger Precision present
rev-ops,deal-desk-workflow-management,2.2,BLOCK,PASS,## Do NOT Use For / Trigger Precision present
rev-ops,deal-desk-workflow-management,2.3,WARN,FAIL,## Typical Activation section missing
rev-ops,deal-desk-workflow-management,3.1,WARN,FAIL,## Pre-flight section missing
rev-ops,deal-desk-workflow-management,3.2,WARN,FAIL,company-profile.md not referenced
rev-ops,deal-desk-workflow-management,5.1,WARN,PASS,## Reasoning Protocol present
rev-ops,deal-desk-workflow-management,5.1-D1a,WARN,FAIL,D1 opening line missing: 'Before generating output; apply these primers:'
rev-ops,deal-desk-workflow-management,5.1-D1b,WARN,FAIL,missing primers: CLASSIFY;CONSTRAINTS;EXPERT CHECK;ANTI-PATTERNS
rev-ops,deal-desk-workflow-management,5.1-D1c,WARN,FAIL,post-execution verification block missing ('**After execution**; verify:')
rev-ops,deal-desk-workflow-management,5.1-D1d,WARN,FAIL,3-band confidence calibration missing (High/Medium/Low format)
rev-ops,deal-desk-workflow-management,5.1-D4a,WARN,SKIP,anti-pattern count=0 (check 5.1 FAIL may explain; verify manually)
rev-ops,deal-desk-workflow-management,5.1a,WARN,FAIL,references/reasoning-blueprint.md not found
rev-ops,deal-desk-workflow-management,6.1,WARN,FAIL,## Reference Files section missing
rev-ops,deal-desk-workflow-management,6.1a,WARN,FAIL,reasoning-blueprint.md not referenced in SKILL.md
rev-ops,deal-desk-workflow-management,9.1,WARN,PASS,G-code governance reference found
rev-ops,deal-desk-workflow-management,S1,WARN,FAIL,no output status signal found (PROPOSED/VALIDATED/DRAFT)
rev-ops,deal-health-scoring,1.1,BLOCK,PASS,deployment_target=plugin
rev-ops,deal-health-scoring,1.1a,BLOCK,PASS,no top-level security: block in frontmatter
rev-ops,deal-health-scoring,1.2,WARN,PASS,version=1.0.0
rev-ops,deal-health-scoring,1.3,WARN,PASS,name=deal-health-scoring
rev-ops,deal-health-scoring,1.4,WARN,PASS,description present
rev-ops,deal-health-scoring,2.1,BLOCK,PASS,## Use When / Trigger Precision present
rev-ops,deal-health-scoring,2.2,BLOCK,PASS,## Do NOT Use For / Trigger Precision present
rev-ops,deal-health-scoring,2.3,WARN,FAIL,## Typical Activation section missing
rev-ops,deal-health-scoring,3.1,WARN,FAIL,## Pre-flight section missing
rev-ops,deal-health-scoring,3.2,WARN,FAIL,company-profile.md not referenced
rev-ops,deal-health-scoring,5.1,WARN,PASS,## Reasoning Protocol present
rev-ops,deal-health-scoring,5.1-D1a,WARN,FAIL,D1 opening line missing: 'Before generating output; apply these primers:'
rev-ops,deal-health-scoring,5.1-D1b,WARN,FAIL,missing primers: CLASSIFY;CONSTRAINTS;EXPERT CHECK;ANTI-PATTERNS
rev-ops,deal-health-scoring,5.1-D1c,WARN,FAIL,post-execution verification block missing ('**After execution**; verify:')
rev-ops,deal-health-scoring,5.1-D1d,WARN,FAIL,3-band confidence calibration missing (High/Medium/Low format)
rev-ops,deal-health-scoring,5.1-D4a,WARN,SKIP,anti-pattern count=0 (check 5.1 FAIL may explain; verify manually)
rev-ops,deal-health-scoring,5.1a,WARN,FAIL,references/reasoning-blueprint.md not found
rev-ops,deal-health-scoring,6.1,WARN,FAIL,## Reference Files section missing
rev-ops,deal-health-scoring,6.1a,WARN,FAIL,reasoning-blueprint.md not referenced in SKILL.md
rev-ops,deal-health-scoring,9.1,WARN,PASS,G-code governance reference found
rev-ops,deal-health-scoring,S1,WARN,FAIL,no output status signal found (PROPOSED/VALIDATED/DRAFT)
rev-ops,deal-to-outcome-tracing,1.1,BLOCK,PASS,deployment_target=plugin
rev-ops,deal-to-outcome-tracing,1.1a,BLOCK,PASS,no top-level security: block in frontmatter
rev-ops,deal-to-outcome-tracing,1.2,WARN,PASS,version=1.0.0
rev-ops,deal-to-outcome-tracing,1.3,WARN,PASS,name=deal-to-outcome-tracing
rev-ops,deal-to-outcome-tracing,1.4,WARN,PASS,description present
rev-ops,deal-to-outcome-tracing,2.1,BLOCK,PASS,## Use When / Trigger Precision present
rev-ops,deal-to-outcome-tracing,2.2,BLOCK,PASS,## Do NOT Use For / Trigger Precision present
rev-ops,deal-to-outcome-tracing,2.3,WARN,FAIL,## Typical Activation section missing
rev-ops,deal-to-outcome-tracing,3.1,WARN,FAIL,## Pre-flight section missing
rev-ops,deal-to-outcome-tracing,3.2,WARN,FAIL,company-profile.md not referenced
rev-ops,deal-to-outcome-tracing,5.1,WARN,PASS,## Reasoning Protocol present
rev-ops,deal-to-outcome-tracing,5.1-D1a,WARN,FAIL,D1 opening line missing: 'Before generating output; apply these primers:'
rev-ops,deal-to-outcome-tracing,5.1-D1b,WARN,FAIL,missing primers: CLASSIFY;CONSTRAINTS;EXPERT CHECK;ANTI-PATTERNS
rev-ops,deal-to-outcome-tracing,5.1-D1c,WARN,FAIL,post-execution verification block missing ('**After execution**; verify:')
rev-ops,deal-to-outcome-tracing,5.1-D1d,WARN,FAIL,3-band confidence calibration missing (High/Medium/Low format)
rev-ops,deal-to-outcome-tracing,5.1-D4a,WARN,SKIP,anti-pattern count=0 (check 5.1 FAIL may explain; verify manually)
rev-ops,deal-to-outcome-tracing,5.1a,WARN,FAIL,references/reasoning-blueprint.md not found
rev-ops,deal-to-outcome-tracing,6.1,WARN,FAIL,## Reference Files section missing
rev-ops,deal-to-outcome-tracing,6.1a,WARN,FAIL,reasoning-blueprint.md not referenced in SKILL.md
rev-ops,deal-to-outcome-tracing,9.1,WARN,PASS,G-code governance reference found
rev-ops,deal-to-outcome-tracing,S1,WARN,FAIL,no output status signal found (PROPOSED/VALIDATED/DRAFT)
rev-ops,discount-threshold-monitoring,1.1,BLOCK,PASS,deployment_target=plugin
rev-ops,discount-threshold-monitoring,1.1a,BLOCK,PASS,no top-level security: block in frontmatter
rev-ops,discount-threshold-monitoring,1.2,WARN,PASS,version=1.0.0
rev-ops,discount-threshold-monitoring,1.3,WARN,PASS,name=discount-threshold-monitoring
rev-ops,discount-threshold-monitoring,1.4,WARN,PASS,description present
rev-ops,discount-threshold-monitoring,2.1,BLOCK,PASS,## Use When / Trigger Precision present
rev-ops,discount-threshold-monitoring,2.2,BLOCK,PASS,## Do NOT Use For / Trigger Precision present
rev-ops,discount-threshold-monitoring,2.3,WARN,FAIL,## Typical Activation section missing
rev-ops,discount-threshold-monitoring,3.1,WARN,FAIL,## Pre-flight section missing
rev-ops,discount-threshold-monitoring,3.2,WARN,FAIL,company-profile.md not referenced
rev-ops,discount-threshold-monitoring,5.1,WARN,PASS,## Reasoning Protocol present
rev-ops,discount-threshold-monitoring,5.1-D1a,WARN,FAIL,D1 opening line missing: 'Before generating output; apply these primers:'
rev-ops,discount-threshold-monitoring,5.1-D1b,WARN,FAIL,missing primers: CLASSIFY;CONSTRAINTS;EXPERT CHECK;ANTI-PATTERNS
rev-ops,discount-threshold-monitoring,5.1-D1c,WARN,FAIL,post-execution verification block missing ('**After execution**; verify:')
rev-ops,discount-threshold-monitoring,5.1-D1d,WARN,FAIL,3-band confidence calibration missing (High/Medium/Low format)
rev-ops,discount-threshold-monitoring,5.1-D4a,WARN,SKIP,anti-pattern count=0 (check 5.1 FAIL may explain; verify manually)
rev-ops,discount-threshold-monitoring,5.1a,WARN,FAIL,references/reasoning-blueprint.md not found
rev-ops,discount-threshold-monitoring,6.1,WARN,FAIL,## Reference Files section missing
rev-ops,discount-threshold-monitoring,6.1a,WARN,FAIL,reasoning-blueprint.md not referenced in SKILL.md
rev-ops,discount-threshold-monitoring,9.1,WARN,PASS,G-code governance reference found
rev-ops,discount-threshold-monitoring,S1,WARN,FAIL,no output status signal found (PROPOSED/VALIDATED/DRAFT)
rev-ops,duplicate-detection,1.1,BLOCK,PASS,deployment_target=plugin
rev-ops,duplicate-detection,1.1a,BLOCK,PASS,no top-level security: block in frontmatter
rev-ops,duplicate-detection,1.2,WARN,PASS,version=1.0.0
